Key,Study,Treatment,Treatment2
S42bbf247067db4b9.End.Walnut,Walnut,Walnut,
S5a4e8a5c2ac28b20.Baseline.Walnut,Walnut,Walnut,
S5a4e8a5c2ac28b20.End.Walnut,Walnut,Walnut,
S562d61c88090e27e.Baseline.NoWalnut,Walnut,Control,
S562d61c88090e27e.End.NoWalnut,Walnut,Control,
S232500ad2bec6ff0.Baseline.NoWalnut,Walnut,Control,
S232500ad2bec6ff0.End.NoWalnut,Walnut,Control,
S287bdaedc09e319.Baseline.Walnut,Walnut,Walnut,
S287bdaedc09e319.End.Walnut,Walnut,Walnut,
S4a9e5da1a872c014.Baseline.Walnut,Walnut,Walnut,
S4a9e5da1a872c014.End.Walnut,Walnut,Walnut,
S4ebf863552a468b6.Baseline.NoWalnut,Walnut,Control,
S4ebf863552a468b6.End.NoWalnut,Walnut,Control,
S5497ec4e3242f29c.Baseline.Walnut,Walnut,Walnut,
S5497ec4e3242f29c.End.Walnut,Walnut,Walnut,
S5076c3ba881149fa.Baseline.NoWalnut,Walnut,Control,
S5076c3ba881149fa.End.NoWalnut,Walnut,Control,
S564abd53d566a68e.Baseline.NoWalnut,Walnut,Control,
S564abd53d566a68e.End.NoWalnut,Walnut,Control,
S6889ff5c0067b0d0.Baseline.Walnut,Walnut,Walnut,
S6889ff5c0067b0d0.End.Walnut,Walnut,Walnut,
S3aa8b2e377475a1d.Baseline.NoWalnut,Walnut,Control,
S3aa8b2e377475a1d.End.NoWalnut,Walnut,Control,
S3ec9db77217902bf.Baseline.Walnut,Walnut,Walnut,
S3ec9db77217902bf.End.Walnut,Walnut,Walnut,
S623c8d7db43b9bc0.Baseline.NoWalnut,Walnut,Control,
S623c8d7db43b9bc0.End.NoWalnut,Walnut,Control,
S5e1b64ea0a09f31e.Baseline.Walnut,Walnut,Walnut,
S5e1b64ea0a09f31e.End.Walnut,Walnut,Walnut,
S22a35360225ae4bb.Baseline.Walnut,Walnut,Walnut,
S22a35360225ae4bb.End.Walnut,Walnut,Walnut,
S1e822acc78293c19.Baseline.NoWalnut,Walnut,Control,
S1e822acc78293c19.End.NoWalnut,Walnut,Control,
Sc3045ed94c384e0.Baseline.Walnut,Walnut,Walnut,
Sc3045ed94c384e0.End.Walnut,Walnut,Walnut,
S4d5b893dbef52d82.Baseline.NoWalnut,Walnut,Control,
S4d5b893dbef52d82.End.NoWalnut,Walnut,Control,
S49074f283937050f.Baseline.NoWalnut,Walnut,Control,
S49074f283937050f.End.NoWalnut,Walnut,Control,
S7dc0bd80f055c6d.Baseline.Walnut,Walnut,Walnut,
S7dc0bd80f055c6d.End.Walnut,Walnut,Walnut,
S19eb80d03aaccdec.Baseline.NoWalnut,Walnut,Control,
S19eb80d03aaccdec.End.NoWalnut,Walnut,Control,
S3a88c3ce8a8f5ac3.Baseline.Walnut,Walnut,Walnut,
S3a88c3ce8a8f5ac3.End.Walnut,Walnut,Walnut,
S7b448fb930c2a352.Baseline.Walnut,Walnut,Walnut,
S7b448fb930c2a352.End.Walnut,Walnut,Walnut,
S772367258690fab0.Baseline.NoWalnut,Walnut,Control,
S772367258690fab0.End.NoWalnut,Walnut,Control,
S1d2f480ebd8548ac.Baseline.Walnut,Walnut,Walnut,
S1d2f480ebd8548ac.End.Walnut,Walnut,Walnut,
S23fbfb416cac5ff6.Baseline.NoWalnut,Walnut,Control,
S23fbfb416cac5ff6.End.NoWalnut,Walnut,Control,
S67a3d58b8341b040.Baseline.NoWalnut,Walnut,Control,
S67a3d58b8341b040.End.NoWalnut,Walnut,Control,
S2678923b5910079e.Baseline.Walnut,Walnut,Walnut,
S2678923b5910079e.End.Walnut,Walnut,Walnut,
S9eb154d4c588ed3.Baseline.NoWalnut,Walnut,Control,
S9eb154d4c588ed3.End.NoWalnut,Walnut,Control,
S53bc486d8389fe04.Baseline.Walnut,Walnut,Walnut,
S53bc486d8389fe04.End.Walnut,Walnut,Walnut,
S748775aee29a8495.Baseline.Almond,Almond,Almond,Butter
S748775aee29a8495.End.Almond,Almond,Almond,Butter
S78a89e428ccc2d37.Baseline.Almond,Almond,Almond,Roast
S78a89e428ccc2d37.End.Almond,Almond,Almond,Roast
S3242f78b1fefdfa2.Baseline.Almond,Almond,Almond,Raw
S3242f78b1fefdfa2.End.Almond,Almond,Almond,Raw
S159620062644ebd5.Baseline.NoAlmond,Almond,Control,
S159620062644ebd5.End.NoAlmond,Almond,Control,
S76f45f1bfd3aef68.Baseline.Almond,Almond,Almond,Chop
S76f45f1bfd3aef68.End.Almond,Almond,Almond,Chop
S4ed769ee1fc01d26.Baseline.Almond,Almond,Almond,Butter
S4ed769ee1fc01d26.End.Almond,Almond,Almond,Butter
S53813857105d5603.Baseline.NoAlmond,Almond,Control,
S53813857105d5603.End.NoAlmond,Almond,Control,
S6ee417ee1d953de7.Baseline.Almond,Almond,Almond,Chop
S6ee417ee1d953de7.End.Almond,Almond,Almond,Chop
S270b005cd7607270.Baseline.Almond,Almond,Almond,Roast
S270b005cd7607270.End.Almond,Almond,Almond,Roast
S3a533eb8ff959123.Baseline.Almond,Almond,Almond,Raw
S3a533eb8ff959123.End.Almond,Almond,Almond,Raw
S1e62624cbe3127b2.Baseline.Almond,Almond,Almond,Chop
S1e62624cbe3127b2.End.Almond,Almond,Almond,Chop
S22c8e1036c0080f0.Baseline.NoAlmond,Almond,Control,
S22c8e1036c0080f0.End.NoAlmond,Almond,Control,
S121a5ddf93868d4.Baseline.Almond,Almond,Almond,Raw
S121a5ddf93868d4.End.Almond,Almond,Almond,Raw
S46b771b34cfc62a3.Baseline.Almond,Almond,Almond,Roast
S46b771b34cfc62a3.End.Almond,Almond,Almond,Roast
S6b0b960ca3f26636.Baseline.Almond,Almond,Almond,Butter
S6b0b960ca3f26636.End.Almond,Almond,Almond,Butter
S1e7c8e13555f9961.Baseline.Almond,Almond,Almond,Raw
S1e7c8e13555f9961.End.Almond,Almond,Almond,Raw
S220b4eafa82f376.Baseline.Almond,Almond,Almond,Chop
S220b4eafa82f376.End.Almond,Almond,Almond,Chop
S23c7f0106d4b0b92.Baseline.NoAlmond,Almond,Control,
S23c7f0106d4b0b92.End.NoAlmond,Almond,Control,
S2e96ece5337fd709.Baseline.Almond,Almond,Almond,Butter
S2e96ece5337fd709.End.Almond,Almond,Almond,Butter
S700ad404f58a2564.Baseline.Almond,Almond,Almond,Roast
S700ad404f58a2564.End.Almond,Almond,Almond,Roast
S37d78d6c7c645f1f.Baseline.Almond,Almond,Almond,Chop
S37d78d6c7c645f1f.End.Almond,Almond,Almond,Chop
S3bf8b600269607c1.Baseline.Almond,Almond,Almond,Raw
S3bf8b600269607c1.End.Almond,Almond,Almond,Raw
Sa6cf0b7464645d4.Baseline.NoAlmond,Almond,Control,
Sa6cf0b7464645d4.End.NoAlmond,Almond,Control,
S524608488c7b114b.Baseline.Almond,Almond,Almond,Butter
S524608488c7b114b.End.Almond,Almond,Almond,Butter
S4c5bb8a19c8eeb22.Baseline.Almond,Almond,Almond,Roast
S4c5bb8a19c8eeb22.End.Almond,Almond,Almond,Roast
S20d4491f93ba37d.Baseline.Almond,Almond,Almond,Roast
S20d4491f93ba37d.End.Almond,Almond,Almond,Roast
S213e401b0f60525.Baseline.NoAlmond,Almond,Control,
S213e401b0f60525.End.NoAlmond,Almond,Control,
S4451c2b5bbe64870.Baseline.Almond,Almond,Almond,Chop
S4451c2b5bbe64870.End.Almond,Almond,Almond,Chop
S73d525b8fde4ec19.Baseline.Almond,Almond,Almond,Raw
S73d525b8fde4ec19.End.Almond,Almond,Almond,Raw
S1276e6a326eee886.Baseline.Almond,Almond,Almond,Butter
S1276e6a326eee886.End.Almond,Almond,Almond,Butter
S6078dbf17e10d905.Baseline.NoAlmond,Almond,Control,
S6078dbf17e10d905.End.NoAlmond,Almond,Control,
S1f4d98a153df3063.Baseline.Almond,Almond,Almond,Chop
S1f4d98a153df3063.End.Almond,Almond,Almond,Chop
S40f4d3c6c6a7487f.Baseline.Almond,Almond,Almond,Roast
S40f4d3c6c6a7487f.End.Almond,Almond,Almond,Roast
S15698e59790fb691.Baseline.Almond,Almond,Almond,Raw
S15698e59790fb691.End.Almond,Almond,Almond,Raw
S4bf4b0bc5de64d02.Baseline.Almond,Almond,Almond,Butter
S4bf4b0bc5de64d02.End.Almond,Almond,Almond,Butter
S70cbb084f962f04f.Baseline.Almond,Almond,Almond,Roast
S70cbb084f962f04f.End.Almond,Almond,Almond,Roast
S6caa87f14f3147ad.Baseline.Almond,Almond,Almond,Chop
S6caa87f14f3147ad.End.Almond,Almond,Almond,Chop
S4cefd15743f26abe.Baseline.Almond,Almond,Almond,Butter
S4cefd15743f26abe.End.Almond,Almond,Almond,Butter
S516b9c5fdbd9f47.Baseline.NoAlmond,Almond,Control,
S516b9c5fdbd9f47.End.NoAlmond,Almond,Control,
S5c47854fd938644c.Baseline.Almond,Almond,Almond,Raw
S5c47854fd938644c.End.Almond,Almond,Almond,Raw
S4886562965534cf.Baseline.Almond,Almond,Almond,Raw
S4886562965534cf.End.Almond,Almond,Almond,Raw
S4aee0c1a03318264.Baseline.Almond,Almond,Almond,Roast
S4aee0c1a03318264.End.Almond,Almond,Almond,Roast
S6d38dc54b699b225.Baseline.NoAlmond,Almond,Control,
S6d38dc54b699b225.End.NoAlmond,Almond,Control,
Sbda9d3edfa3ae92.Baseline.Almond,Almond,Almond,Butter
Sbda9d3edfa3ae92.End.Almond,Almond,Almond,Butter
Sedf5290f814f64f.Baseline.NoAlmond,Almond,Control,
Sedf5290f814f64f.End.NoAlmond,Almond,Control,
S13007b24a2469ef1.Baseline.Almond,Almond,Almond,Roast
S13007b24a2469ef1.End.Almond,Almond,Almond,Roast
S706f464f4a95aea4.Baseline.Almond,Almond,Almond,Raw
S706f464f4a95aea4.End.Almond,Almond,Almond,Raw
S7b3e432410ca7a1b.Baseline.Almond,Almond,Almond,Butter
S7b3e432410ca7a1b.End.Almond,Almond,Almond,Butter
S23637dc6183f8252.Baseline.Almond,Almond,Almond,Chop
S23637dc6183f8252.End.Almond,Almond,Almond,Chop
S145159898d2d9c20.Baseline.Almond,Almond,Almond,Chop
S145159898d2d9c20.End.Almond,Almond,Almond,Chop
S2cd9e9c69d040c82.Baseline.Almond,Almond,Almond,Butter
S2cd9e9c69d040c82.End.Almond,Almond,Almond,Butter
S5695d7ad4fd84113.Baseline.Almond,Almond,Almond,Raw
S5695d7ad4fd84113.End.Almond,Almond,Almond,Raw
S619110c169f2f376.Baseline.Almond,Almond,Almond,Roast
S619110c169f2f376.End.Almond,Almond,Almond,Roast
S3d3cec6812fcefe3.Baseline.NoAlmond,Almond,Control,
S3d3cec6812fcefe3.End.NoAlmond,Almond,Control,
S41b68950c80fb03c.Baseline.Almond,Almond,Almond,Butter
S41b68950c80fb03c.End.Almond,Almond,Almond,Butter
S3d9560bd1dde079a.Baseline.Almond,Almond,Almond,Raw
S3d9560bd1dde079a.End.Almond,Almond,Almond,Raw
S7c04f88b7545aad1.Baseline.Almond,Almond,Almond,Chop
S7c04f88b7545aad1.End.Almond,Almond,Almond,Chop
S342be0fa2f10df5a.Baseline.NoAlmond,Almond,Control,
S342be0fa2f10df5a.End.NoAlmond,Almond,Control,
S2d325e1ba7e52439.Baseline.Almond,Almond,Almond,Roast
S2d325e1ba7e52439.End.Almond,Almond,Almond,Roast
S53366fa9261b512f.Baseline.Almond,Almond,Almond,Roast
S53366fa9261b512f.End.Almond,Almond,Almond,Roast
S4f22329c0a0221fa.Baseline.Almond,Almond,Almond,Butter
S4f22329c0a0221fa.End.Almond,Almond,Almond,Butter
S6a851233173a09de.Baseline.Almond,Almond,Almond,Chop
S6a851233173a09de.End.Almond,Almond,Almond,Chop
S22abfaa1d1053e67.Baseline.Almond,Almond,Almond,Raw
S22abfaa1d1053e67.End.Almond,Almond,Almond,Raw
S3eb2447405f0c52c.Baseline.NoAlmond,Almond,Control,
S3eb2447405f0c52c.End.NoAlmond,Almond,Control,
S2f09125ea2449a5b.Baseline.Almond,Almond,Almond,Roast
S2f09125ea2449a5b.End.Almond,Almond,Almond,Roast
Se6bcf6052620d84.Baseline.Almond,Almond,Almond,Raw
Se6bcf6052620d84.End.Almond,Almond,Almond,Raw
S133b6bc520660a98.Baseline.Almond,Almond,Almond,Chop
S133b6bc520660a98.End.Almond,Almond,Almond,Chop
S5b148356669ad60f.Baseline.Almond,Almond,Almond,Butter
S5b148356669ad60f.End.Almond,Almond,Almond,Butter
S7f68a7afbd90d9a2.Baseline.NoAlmond,Almond,Control,
S7f68a7afbd90d9a2.End.NoAlmond,Almond,Control,
S19cc8a2c89b11f76.Baseline.Almond,Almond,Almond,Raw
S19cc8a2c89b11f76.End.Almond,Almond,Almond,Raw
S3a69cd2ad993ac4d.Baseline.Almond,Almond,Almond,Butter
S3a69cd2ad993ac4d.End.Almond,Almond,Almond,Butter
S5c1108504c5bc469.Baseline.NoAlmond,Almond,Control,
S5c1108504c5bc469.End.NoAlmond,Almond,Control,
S66e0052512908fe0.Baseline.Almond,Almond,Almond,Chop
S66e0052512908fe0.End.Almond,Almond,Almond,Chop
S37c1bbc516796c8d.Baseline.Almond,Almond,Almond,Roast
S37c1bbc516796c8d.End.Almond,Almond,Almond,Roast
S308c2eb5be3dbaf1.Baseline.Almond,Almond,Almond,Raw
S308c2eb5be3dbaf1.End.Almond,Almond,Almond,Raw
S109f149a6bf3edb1.End.Almond,Almond,Almond,Roast
S1108268b06d42a6b.Baseline.Almond,Almond,Almond,Butter
S1108268b06d42a6b.End.Almond,Almond,Almond,Butter
S58e13e1c4d08f5e2.Baseline.Almond,Almond,Almond,Chop
S1c0803809e132eee.Baseline.NoAlmond,Almond,Control,
S1c0803809e132eee.End.NoAlmond,Almond,Control,
S3166cdd44651a709.Baseline.Almond,Almond,Almond,Raw
S3166cdd44651a709.End.Almond,Almond,Almond,Raw
S2c408fe68990e5ce.Baseline.NoAlmond,Almond,Control,
S2c408fe68990e5ce.End.NoAlmond,Almond,Control,
S4de7cb0bfc58fdea.Baseline.Almond,Almond,Almond,Butter
S4de7cb0bfc58fdea.End.Almond,Almond,Almond,Butter
S58b6c7e0c28dc961.Baseline.Almond,Almond,Almond,Roast
S58b6c7e0c28dc961.End.Almond,Almond,Almond,Roast
S45eaf909667c330c.Baseline.Almond,Almond,Almond,Chop
S45eaf909667c330c.End.Almond,Almond,Almond,Chop
S2f2d4e77594d4bc1.Baseline.Almond,Almond,Almond,Roast
S2f2d4e77594d4bc1.End.Almond,Almond,Almond,Roast
S245e51a29318804a.Baseline.NoAlmond,Almond,Control,
S245e51a29318804a.End.NoAlmond,Almond,Control,
S3cffed7343dd8349.Baseline.Almond,Almond,Almond,Butter
S3cffed7343dd8349.End.Almond,Almond,Almond,Butter
S6c489a176c030d8.Baseline.Broccoli,Broccoli,Broccoli,
S6c489a176c030d8.Baseline.NoBroccoli,Broccoli,Control,
S6c489a176c030d8.End.Broccoli,Broccoli,Broccoli,
S6c489a176c030d8.End.NoBroccoli,Broccoli,Control,
S742ab747ddc03fe1.Baseline.Broccoli,Broccoli,Broccoli,
S742ab747ddc03fe1.Baseline.NoBroccoli,Broccoli,Control,
S742ab747ddc03fe1.End.Broccoli,Broccoli,Broccoli,
S742ab747ddc03fe1.End.NoBroccoli,Broccoli,Control,
S2ccb5fb751e55d1d.Baseline.Broccoli,Broccoli,Broccoli,
S2ccb5fb751e55d1d.Baseline.NoBroccoli,Broccoli,Control,
S2ccb5fb751e55d1d.End.Broccoli,Broccoli,Broccoli,
S2ccb5fb751e55d1d.End.NoBroccoli,Broccoli,Control,
S35f62fb0f217ac4d.Baseline.Broccoli,Broccoli,Broccoli,
S35f62fb0f217ac4d.Baseline.NoBroccoli,Broccoli,Control,
S35f62fb0f217ac4d.End.Broccoli,Broccoli,Broccoli,
S35f62fb0f217ac4d.End.NoBroccoli,Broccoli,Control,
S4932f8c93b88355a.Baseline.Broccoli,Broccoli,Broccoli,
S4932f8c93b88355a.Baseline.NoBroccoli,Broccoli,Control,
S4932f8c93b88355a.End.Broccoli,Broccoli,Broccoli,
S4932f8c93b88355a.End.NoBroccoli,Broccoli,Control,
S402b68f722e105ad.Baseline.Broccoli,Broccoli,Broccoli,
S402b68f722e105ad.Baseline.NoBroccoli,Broccoli,Control,
S402b68f722e105ad.End.Broccoli,Broccoli,Broccoli,
S402b68f722e105ad.End.NoBroccoli,Broccoli,Control,
S166ce4c7a55ef827.Baseline.Broccoli,Broccoli,Broccoli,
S166ce4c7a55ef827.Baseline.NoBroccoli,Broccoli,Control,
S166ce4c7a55ef827.End.Broccoli,Broccoli,Broccoli,
S166ce4c7a55ef827.End.NoBroccoli,Broccoli,Control,
S5832b539279755a6.Baseline.Broccoli,Broccoli,Broccoli,
S5832b539279755a6.Baseline.NoBroccoli,Broccoli,Control,
S5832b539279755a6.End.Broccoli,Broccoli,Broccoli,
S5832b539279755a6.End.NoBroccoli,Broccoli,Control,
S29deb8a51cb32bea.Baseline.Broccoli,Broccoli,Broccoli,
S29deb8a51cb32bea.Baseline.NoBroccoli,Broccoli,Control,
S29deb8a51cb32bea.End.Broccoli,Broccoli,Broccoli,
S29deb8a51cb32bea.End.NoBroccoli,Broccoli,Control,
S78bcd5898a90a4c6.Baseline.Broccoli,Broccoli,Broccoli,
S78bcd5898a90a4c6.Baseline.NoBroccoli,Broccoli,Control,
S78bcd5898a90a4c6.End.Broccoli,Broccoli,Broccoli,
S78bcd5898a90a4c6.End.NoBroccoli,Broccoli,Control,
S2b8e4bb0549acab6.Baseline.Broccoli,Broccoli,Broccoli,
S2b8e4bb0549acab6.Baseline.NoBroccoli,Broccoli,Control,
S2b8e4bb0549acab6.End.Broccoli,Broccoli,Broccoli,
S2b8e4bb0549acab6.End.NoBroccoli,Broccoli,Control,
S6b9a37c8adb1deff.Baseline.Broccoli,Broccoli,Broccoli,
S6b9a37c8adb1deff.Baseline.NoBroccoli,Broccoli,Control,
S6b9a37c8adb1deff.End.Broccoli,Broccoli,Broccoli,
S6b9a37c8adb1deff.End.NoBroccoli,Broccoli,Control,
S535e6fe2435483ca.Baseline.Broccoli,Broccoli,Broccoli,
S535e6fe2435483ca.Baseline.NoBroccoli,Broccoli,Control,
S535e6fe2435483ca.End.Broccoli,Broccoli,Broccoli,
S535e6fe2435483ca.End.NoBroccoli,Broccoli,Control,
S2a9645731889608c.Baseline.Broccoli,Broccoli,Broccoli,
S2a9645731889608c.Baseline.NoBroccoli,Broccoli,Control,
S2a9645731889608c.End.Broccoli,Broccoli,Broccoli,
S2a9645731889608c.End.NoBroccoli,Broccoli,Control,
S1477258ce209ed29.Baseline.Broccoli,Broccoli,Broccoli,
S1477258ce209ed29.Baseline.NoBroccoli,Broccoli,Control,
S1477258ce209ed29.End.Broccoli,Broccoli,Broccoli,
S1477258ce209ed29.End.NoBroccoli,Broccoli,Control,
S4e86b50881a3b1f.Baseline.Broccoli,Broccoli,Broccoli,
S4e86b50881a3b1f.Baseline.NoBroccoli,Broccoli,Control,
S4e86b50881a3b1f.End.Broccoli,Broccoli,Broccoli,
S4e86b50881a3b1f.End.NoBroccoli,Broccoli,Control,
S37713ade2f8288ba.Baseline.Broccoli,Broccoli,Broccoli,
S37713ade2f8288ba.Baseline.NoBroccoli,Broccoli,Control,
S37713ade2f8288ba.End.Broccoli,Broccoli,Broccoli,
S37713ade2f8288ba.End.NoBroccoli,Broccoli,Control,
S57c7302e8cad5883.Baseline.Broccoli,Broccoli,Broccoli,
S57c7302e8cad5883.Baseline.NoBroccoli,Broccoli,Control,
S57c7302e8cad5883.End.Broccoli,Broccoli,Broccoli,
S57c7302e8cad5883.End.NoBroccoli,Broccoli,Control,
